"Url","Url"
"All Except Specified URLs","All Except Specified URLs"
"Specified URLs","Specified URLs"
"Redirect From Home Page Only","Redirect From Home Page Only"
"GeoIp Redirect","GeoIp Redirect"
"Enable GeoIP Redirect","Enable GeoIP Redirect"
"Restriction","Restriction"
"Apply Logic To","Apply Logic To"
"Accepted URLs","Accepted URLs"
"Excepted URLs","Excepted URLs"
"User Agents to Ignore","User Agents to Ignore"
"Ip to Ignore","Ip to Ignore"
"First visit redirect only","First visit redirect only"
"Redirect Between Websites","Redirect Between Websites"
"Country to Store View Redirect","Country to Store View Redirect"
"Enable Country --> Store View","Enable Country --> Store View"
"Affected Countries","Affected Countries"
"Country to Currency Switch","Country to Currency Switch"
"Enable Country --> Currency","Enable Country --> Currency"
"Country to Currency Mapping","Country to Currency Mapping"
"Country to URL Redirect","Country to URL Redirect"
"Enable Country --> URL","Enable Country --> URL"
"Country to URL Mapping","Country to URL Mapping"
